ONE Detail Report

Date/Time: 1/24/2022 11:02:38
Filter: [Account] = 'IB1'
Grouping: Account

,Account,Expiration,TradeId,TradeName,Underlying,Status,TradeType,OpenDate,CloseDate,DaysToExpiration,DaysInTrade,Margin,Comms,PnL,PnLperc
,,Account,TradeId,Date,Transaction,Qty,Symbol,Expiry,Type,Description,Underlying,Price,Commission
IB1 
,,"IB1",284,10/20/2021 12:18:06 PM,Sell,4,SPX   220319P03625000,3/18/2022,Put,SPX Mar22 3625 Put,SPX,42.05,4.56
,,"IB1",284,10/26/2021 2:21:38 PM,Buy,4,SPX   220319P03625000,3/18/2022,Put,SPX Mar22 3625 Put,SPX,37.26,4.56
,,"IB1",284,10/26/2021 2:21:38 PM,Sell,4,SPX   220319P03575000,3/18/2022,Put,SPX Mar22 3575 Put,SPX,34.31,4.56
,,"IB1",284,10/26/2021 3:30:06 PM,Buy,4,SPX,,Stock,SPX Stock,SPX,4583.82,0.02
,,"IB1",284,11/9/2021 12:23:25 PM,Sell,4,SPX,,Stock,SPX Stock,SPX,4677,0.02
,,"IB1",284,11/12/2021 11:00:19 AM,Buy,1,SPX,,Stock,SPX Stock,SPX,4661.8,0.005
,,"IB1",284,11/16/2021 3:39:45 PM,Buy,2,SPX,,Stock,SPX Stock,SPX,4709.21,0.01
,,"IB1",284,11/26/2021 10:24:40 AM,Sell,3,SPX,,Stock,SPX Stock,SPX,4611.67,0.015
,,"IB1",284,12/7/2021 12:24:48 PM,Buy,4,SPX   220319P03575000,3/18/2022,Put,SPX Mar22 3575 Put,SPX,27.525,4.56
,,"IB1",284,12/7/2021 12:24:48 PM,Sell,4,SPX   220319P03625000,3/18/2022,Put,SPX Mar22 3625 Put,SPX,29.675,4.56
,,"IB1",284,12/9/2021 10:25:00 AM,Sell,2,SPXW  220101P02300000,12/31/2021,Put,SPX Dec21 2300 Put,SPX,0.15,2.28
,,"IB1",284,12/9/2021 11:19:07 AM,Buy,2,SPX   220319P03100000,3/18/2022,Put,SPX Mar22 3100 Put,SPX,12.175,2.28
,,"IB1",284,12/9/2021 11:19:07 AM,Sell,2,SPX   220319P03000000,3/18/2022,Put,SPX Mar22 3000 Put,SPX,10.525,2.28
,,"IB1",284,12/9/2021 11:21:39 AM,Buy,2,SPX   220319P03825000,3/18/2022,Put,SPX Mar22 3825 Put,SPX,36.525,2.28
,,"IB1",284,12/9/2021 11:21:39 AM,Sell,2,SPX   220319P03875000,3/18/2022,Put,SPX Mar22 3875 Put,SPX,39.675,2.28
,,"IB1",284,1/18/2022 10:20:53 AM,Buy,2,SPX   220319P03200000,3/18/2022,Put,SPX Mar22 3200 Put,SPX,6.05,2.28
,,"IB1",284,1/18/2022 10:20:53 AM,Sell,2,SPX   220319P03100000,3/18/2022,Put,SPX Mar22 3100 Put,SPX,5.1,2.28

,"IB1",12/31/2021,294,"244+2lp 2021-10-28 10:35",SPX,Closed,Custom,10/28/2021 10:35 AM,12/9/2021 11:35 AM,64,42,153916.60,27.60,948.40,0.62
,,"IB1",294,10/28/2021 10:35:24 AM,Buy,2,SPX   220414P04175000,4/14/2022,Put,SPX Apr22 4175 Put,SPX,113.12,2.28
,,"IB1",294,10/28/2021 10:35:24 AM,Buy,4,SPX   220414P02850000,4/14/2022,Put,SPX Apr22 2850 Put,SPX,15.1,4.56
,,"IB1",294,10/28/2021 10:35:24 AM,Buy,1,SPXW  220101P03075000,12/31/2021,Put,SPX Dec21 3075 Put,SPX,3.2,1.14
,,"IB1",294,10/28/2021 10:35:24 AM,Sell,4,SPX   220414P03900000,4/14/2022,Put,SPX Apr22 3900 Put,SPX,74.61,4.56
,,"IB1",294,11/1/2021 10:48:33 AM,Buy,1,SPXW  220101P03075000,12/31/2021,Put,SPX Dec21 3075 Put,SPX,3,1.14
,,"IB1",294,11/1/2021 12:24:57 PM,Buy,2,SPX,,Stock,SPX Stock,SPX,4609.8,0.01
,,"IB1",294,11/9/2021 12:24:41 PM,Sell,2,SPX,,Stock,SPX Stock,SPX,4677,0.01
,,"IB1",294,11/12/2021 10:11:43 AM,Sell,2,SPXW  220101P03075000,12/31/2021,Put,SPX Dec21 3075 Put,SPX,1.92,2.5
,,"IB1",294,12/9/2021 11:35:16 AM,Buy,4,SPX   220414P03900000,4/14/2022,Put,SPX Apr22 3900 Put,SPX,55.65,4.56
,,"IB1",294,12/9/2021 11:35:16 AM,Sell,2,SPX   220414P04175000,4/14/2022,Put,SPX Apr22 4175 Put,SPX,86.25,2.28
,,"IB1",294,12/9/2021 11:35:16 AM,Sell,4,SPX   220414P02850000,4/14/2022,Put,SPX Apr22 2850 Put,SPX,12.2,4.56

,"IB1",1/19/2022,317,"bwb 2022-19-10:03",/ES,Open,Custom,1/19/2022 10:03 AM,,0,5,1320.00,6.80,0.00,0.00
,,"IB1",317,1/19/2022 10:03:56 AM,Buy,2,/E3C.F22.45750P,1/19/2022,Put,/ES Jan22 4575 Put,/ES,9,1.7
,,"IB1",317,1/19/2022 10:03:56 AM,Buy,2,/E3C.F22.45300P,1/19/2022,Put,/ES Jan22 4530 Put,/ES,1.55,1.7
,,"IB1",317,1/19/2022 10:03:56 AM,Sell,4,/E3C.F22.45550P,1/19/2022,Put,/ES Jan22 4555 Put,/ES,4.475,3.4

,"IB1",1/21/2022,288,"242+2lp 2021-10-18 11:30",SPX,Closed,Custom,10/18/2021 11:30 AM,1/21/2022 9:50 AM,95,95,78857.49,47.94,914.51,1.16
,,"IB1",288,10/18/2021 11:30:46 AM,Buy,2,SPXW  220331P03175000,3/31/2022,Put,SPX Mar22 3175 Put,SPX,25.5,2.28
,,"IB1",288,10/18/2021 11:30:46 AM,Buy,2,SPX   220122P02450000,1/21/2022,Put,SPX Jan22 2450 Put,SPX,2.65,2.28
,,"IB1",288,10/18/2021 11:30:46 AM,Buy,2,SPXW  220331P04100000,3/31/2022,Put,SPX Mar22 4100 Put,SPX,113.62,2.28
,,"IB1",288,10/18/2021 11:30:46 AM,Sell,4,SPXW  220331P03800000,3/31/2022,Put,SPX Mar22 3800 Put,SPX,69.96,4.56
,,"IB1",288,10/19/2021 10:53:55 AM,Buy,2,SPXW  220331P03800000,3/31/2022,Put,SPX Mar22 3800 Put,SPX,66.225,2.28
,,"IB1",288,10/19/2021 10:53:55 AM,Sell,2,SPXW  220331P03825000,3/31/2022,Put,SPX Mar22 3825 Put,SPX,68.875,2.28
,,"IB1",288,10/20/2021 12:11:45 PM,Buy,2,SPXW  220331P03800000,3/31/2022,Put,SPX Mar22 3800 Put,SPX,62.325,2.28
,,"IB1",288,10/20/2021 12:11:45 PM,Sell,2,SPXW  220331P03825000,3/31/2022,Put,SPX Mar22 3825 Put,SPX,64.775,2.28
,,"IB1",288,10/26/2021 2:40:14 PM,Buy,4,SPXW  220331P03825000,3/31/2022,Put,SPX Mar22 3825 Put,SPX,58.33,4.56
,,"IB1",288,10/26/2021 2:40:14 PM,Sell,4,SPXW  220331P03800000,3/31/2022,Put,SPX Mar22 3800 Put,SPX,55.98,4.56
,,"IB1",288,10/26/2021 3:32:17 PM,Buy,3,SPX,,Stock,SPX Stock,SPX,4583.82,0.015
